PPR,Superflex,Name,Pos,Team,Age
18,1,Joe Burrow,QB,Bengals,23
20,2,Tua Tagovailoa,QB,Dolphins,22
1,3,Clyde Edwards-Helaire,RB,Chiefs,21
2,4,Jonathan Taylor,RB,Colts,21
3,5,D'Andre Swift,RB,Lions,21
4,6,JK Dobbins,RB,Ravens,21
6,7,Jerry Jeudy,WR,Broncos,21
5,8,CeeDee Lamb,WR,Cowboys,21
27,9,Justin Herbert,QB,Chargers,22
7,10,Cam Akers,RB,Rams,20
9,11,Justin Jefferson,WR,Vikings,20
8,12,Jalen Reagor,WR,Eagles,21
10,13,Henry Ruggs,WR,Raiders,21
11,14,Tee Higgins,WR,Bengals,21
12,15,Michael Pittman,WR,Colts,22
13,16,Denzel Mims,WR,Jets,22
14,17,Brandon Aiyuk,WR,49ers,22
15,18,Laviska Shenault,WR,Jaguars,21
16,19,Ke'Shawn Vaughn,RB,Buccaneers,22
17,20,Bryan Edwards,WR,Raiders,21
35,21,Jordan Love,QB,Packers,21
38,22,Jalen Hurts,QB,Eagles,21
50,23,Jacob Eason,QB,Colts,22
22,24,Darrynton Evans,RB,Titans,21
21,25,Zack Moss,RB,Bills,22
19,26,Antonio Gibson,RB,Redskins,21
24,27,Chase Claypool,WR,Steelers,21
23,28,AJ Dillon,RB,Packers,21
32,29,Van Jefferson,WR,Rams,23
29,30,Cole Kmet,TE,Bears,21
25,31,Anthony McFarland,RB,Steelers,22
28,32,Devin Duvernay,WR,Ravens,22
26,33,KJ Hamler,WR,Broncos,20
30,34,Adam Trautman,TE,Saints,23
34,35,Antonio Gandy-Golden,WR,Redskins,22
40,36,Joshua Kelley,RB,Chargers,22
31,37,Lynn Bowden,WR,Raiders,22
33,38,Lamical Perine,RB,Jets,22
42,39,Albert Okwuegbunam,TE,Broncos,22
36,40,Tyler Johnson,WR,Buccaneers,21
37,41,Eno Benjamin,RB,Cardinals,21
58,42,Jake Fromm,QB,Bills,21
63,43,James Morgan,QB,Jets,23
39,44,DeeJay Dallas,RB,Seahawks,21
45,45,Donovan Peoples-Jones,WR,Browns,21
43,46,Gabriel Davis,WR,Bills,21
41,47,Devin Asiasi,TE,Patriots,22
46,48,Harrison Bryant,TE,Browns,22
51,49,Darnell Mooney,WR,Bears,22
48,50,John Hightower,WR,Eagles,-
44,51,Brycen Hopkins,TE,Rams,23
52,52,Collin Johnson,WR,Jaguars,22
57,53,Michael Warren,RB,Eagles,-
49,54,Isaiah Hodgins,WR,Bills,21
56,55,Quintez Cephus,WR,Lions,22
62,56,James Proche,WR,Ravens,-
53,57,Hunter Bryant,TE,Lions,21
47,58,Josiah Deguara,TE,Packers,23
54,59,Joe Reed,WR,Chargers,22
55,60,KJ Hill,WR,Chargers,22
59,61,Raymond Calais,RB,Buccaneers,22
60,62,Quez Watkins,WR,Eagles,-
61,63,Thaddeus Moss,TE,Redskins,21
64,64,Jauan Jennings,WR,49ers,22
65,65,Salvon Ahmed,RB,49ers,23
